Epoch,TotalEnvInteracts,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,Ep_lens_mean,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,AverageEpLen,AverageTestEpLen,Lr_a,Lr_c,Lr_alpha,Lr_labda,AverageAlpha,AverageLambda,AverageLossPi,AverageErrorL,AverageLossAlpha,AverageLossLambda,AverageLVals,StdLVals,MaxLVals,MinLVals,AverageLogPi,StdLogPi,MaxLogPi,MinLogPi,AverageEntropy,Time
1,2048,211.32678,64.99117,495.41965,141.00627,21.42105263157895,288.59702,98.160515,465.40295,160.22719,21.421053,36.1,0.00010000000000000000479,0.00029999999999999997372,0.00010000000000000000479,0.00029999999999999997372,1.918122,0.9430992,-1.2579846,166.90877,2.8561413,-0.011180344,13.893039,11.214298,139.2713,0.024732035,-0.48654407,0.5906077,4.155716,-7.798489,0.4865441,10.38786506652832
2,4096,344.3504,158.59508,744.265,143.48807,29.97037037037037,443.03622,228.22285,847.12726,179.86386,50.275,101.3,9.9665552173913046e-05,0.00029899665585284279247,9.9665552173913046e-05,0.00029899665585284279247,1.7251779,0.95372546,-0.09982571,41.364254,1.9892566,-0.00020659744,39.98293,23.15609,190.35469,4.215723,-0.15175273,0.8855059,4.555896,-9.074975,0.1517527,27.617051601409912
3,6144,333.85672,159.57666,652.43616,153.83884,37.47530864197531,369.51175,245.27542,983.4692,161.1127,75.0,107.0,9.9331104347826087205e-05,0.0002979933117056855779,9.9331104347826087205e-05,0.0002979933117056855779,1.50204,1.0,0.57947403,43.17568,1.5547185,-0.119519055,65.69385,29.324244,240.12512,20.694677,-0.033511475,0.9291444,3.9318461,-10.667374,0.033511467,46.55980038642883
4,8192,389.82156,246.39975,1276.994,168.40019,44.97790055248619,417.60434,152.66939,741.0766,210.86226,108.947365,208.8,9.8996656521739139516e-05,0.00029698996755852839665,9.8996656521739139516e-05,0.00029698996755852839665,1.3076282,1.0,0.40947643,63.519566,1.2449564,-0.13627939,80.31341,32.174763,240.78433,30.983847,0.049179524,0.95528543,4.669886,-9.173085,-0.049179517,66.13680934906006
5,10240,436.39563,182.58932,888.35175,277.24954,52.90625,232.52835,114.1173,502.33392,103.56947,183.36363,226.1,9.866220869565218072e-05,0.0002959866234113712154,9.866220869565218072e-05,0.0002959866234113712154,1.1395099,1.0,0.08847112,72.14361,0.9756005,0.034009025,90.23861,35.134247,255.04796,35.130287,0.1456171,0.9918656,5.2474785,-8.521711,-0.14561711,84.16254210472107
6,12288,313.1193,118.67068,503.08173,149.48648,59.81683168316832,219.00537,86.71205,392.8446,106.068985,192.5,198.6,9.832776086956522193e-05,0.00029498327926421403415,9.832776086956522193e-05,0.00029498327926421403415,1.0008867,1.0,-0.78755784,73.552536,0.65823036,0.26293376,92.72064,37.874195,264.7127,32.61256,0.3449142,1.0629039,5.1386375,-11.733731,-0.34491426,99.53072357177734
7,14336,302.70297,133.67134,546.3873,149.40675,67.62085308056872,184.66077,91.12784,351.74808,66.79495,242.77777,232.1,9.7993313043478263135e-05,0.00029397993511705681958,9.7993313043478263135e-05,0.00029397993511705681958,0.8855222,0.8240797,-1.3028924,63.326942,0.5219274,-0.41607594,85.676285,38.87653,260.5765,25.583405,0.40876842,1.1294527,4.9535947,-10.528834,-0.40876842,116.42003679275513
8,16384,260.43594,109.11982,465.97568,129.44376,74.14090909090909,183.17143,39.63614,234.49796,117.429825,227.0,227.0,9.765886521739130434e-05,0.00029297659096989963833,9.765886521739130434e-05,0.00029297659096989963833,0.7601695,0.52761805,-0.82718706,46.268124,0.60711247,-1.1799555,76.56888,38.28053,256.34717,22.609009,0.1981091,1.0595447,4.046428,-8.440158,-0.19810914,138.03169465065002
9,18432,280.55457,107.40378,502.11438,153.3662,79.70995670995671,313.09155,143.4966,514.9686,158.56075,191.09091,156.2,9.732441739130435665e-05,0.00029197324682274245705,9.732441739130435665e-05,0.00029197324682274245705,0.6439795,0.36019346,-0.50788045,34.95537,0.64374447,-1.4211632,70.16427,37.82837,268.24954,19.340916,-0.0018933543,0.97268283,3.1010256,-12.714876,0.0018933524,158.07126545906067
10,20480,415.50955,221.44258,869.94366,155.33592,84.23140495867769,218.87138,78.26405,370.5293,115.653114,179.18182,227.1,9.698996956521739786e-05,0.0002909699026755852425,9.698996956521739786e-05,0.0002909699026755852425,0.5490273,0.25422946,-0.3683252,29.871058,0.6173347,-1.6068012,68.586464,38.05029,263.33438,19.383451,-0.12577008,0.9087007,3.0260592,-10.241573,0.12577008,176.52240681648254
11,22528,398.35886,95.40102,536.8718,210.41,87.6796875,359.59595,138.35779,547.8321,155.47816,147.28572,212.9,9.6655521739130439065e-05,0.00028996655852842806125,9.6655521739130439065e-05,0.00028996655852842806125,0.47088543,0.18182227,-0.27563176,26.08331,0.5725891,-1.6191989,68.93171,38.351917,269.9896,19.456179,-0.21682142,0.83938235,2.9960291,-8.619472,0.2168214,194.41829109191895
12,24576,364.9875,183.58766,751.8013,159.15976,89.62637362637362,457.3876,196.36179,827.2008,169.43013,118.94118,202.7,9.632107391304348027e-05,0.00028896321438127087998,9.632107391304348027e-05,0.00028896321438127087998,0.4052882,0.1328133,-0.22478867,26.131731,0.5180896,-1.6958575,71.02461,39.40213,284.4274,20.552427,-0.2788882,0.7918481,2.564947,-10.152519,0.2788882,210.84501147270203
13,26624,544.71875,257.1774,1035.7076,222.33858,93.10877192982456,307.93686,120.730194,526.2947,160.11383,172.33333,227.8,9.598662608695652148e-05,0.00028795987023411369873,9.598662608695652148e-05,0.00028795987023411369873,0.34972876,0.099290796,-0.18976219,27.568987,0.46297804,-1.7824152,75.01582,40.35428,296.05756,20.418299,-0.32402337,0.7492379,2.6291454,-8.228677,0.32402337,229.57085728645325
14,28672,459.10452,188.33327,769.4828,151.66147,95.72818791946308,317.05197,108.576904,506.01404,206.40318,153.15384,176.5,9.565217826086957379e-05,0.00028695652608695648418,9.565217826086957379e-05,0.00028695652608695648418,0.3022045,0.074668914,-0.16597444,27.861738,0.41226125,-1.9575031,78.94692,41.3902,321.98682,25.171244,-0.3642535,0.7149981,2.3839889,-9.717028,0.36425355,246.31039237976074
