Epoch,TotalEnvInteracts,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,Ep_lens_mean,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,AverageEpLen,AverageTestEpLen,Lr_a,Lr_c,Lr_alpha,Lr_labda,AverageAlpha,AverageLambda,AverageLossPi,AverageErrorL,AverageLossAlpha,AverageLossLambda,AverageLVals,StdLVals,MaxLVals,MinLVals,AverageLogPi,StdLogPi,MaxLogPi,MinLogPi,AverageEntropy,Time
1,2048,225.7912,105.975845,875.10394,139.22005,26.273972602739725,898.2341,555.16504,2311.7131,429.91827,26.273973,175.4,0.00010000000000000000479,0.00029999999999999997372,0.00010000000000000000479,0.00029999999999999997372,1.9174564,0.99196386,-0.4704777,106.29729,6.4975443,-0.00874692,16.66208,13.613833,136.5874,0.1673598,-0.38570386,0.73359984,5.1576533,-6.7898245,0.3857039,13.313780069351196
2,4096,718.2274,217.02129,1051.7408,316.26782,48.34939759036145,95.93309,47.10569,199.79974,31.999163,209.5,250.0,9.9665552173913046e-05,0.00029899665585284279247,9.9665552173913046e-05,0.00029899665585284279247,1.7148935,0.8779127,-0.7646684,23.983849,5.10504,-0.114452,32.489418,23.216064,199.08716,4.685223,0.022143131,1.058984,5.8450294,-11.772372,-0.022143131,35.97804594039917
3,6144,179.50934,93.95301,384.55276,50.79153,66.07692307692308,58.696583,20.639711,93.227646,32.988754,250.0,250.0,9.9331104347826087205e-05,0.0002979933117056855779,9.9331104347826087205e-05,0.0002979933117056855779,1.4757967,0.6288362,-0.6219168,22.289398,4.5811877,-0.3537683,39.95073,27.150946,218.86462,8.9223995,-0.104840316,0.93236023,3.526553,-10.488131,0.10484032,61.68544244766235
4,8192,146.4426,53.97496,272.1679,81.60133,80.93939393939394,84.41615,41.573353,173.32095,35.18347,250.0,250.0,9.8996656521739139516e-05,0.00029698996755852839665,9.8996656521739139516e-05,0.00029698996755852839665,1.2694898,0.43831754,-0.6611925,26.179527,4.0345106,-0.8271007,38.83882,30.607183,239.12158,7.3171797,-0.17868872,0.86761487,2.7477317,-7.747044,0.1786887,81.3743269443512
5,10240,171.51906,55.66105,257.9432,102.21794,93.57943925233644,79.50334,36.193913,140.15294,25.794115,250.0,250.0,9.866220869565218072e-05,0.0002959866234113712154,9.866220869565218072e-05,0.0002959866234113712154,1.0929548,0.29745263,-0.5786205,24.632757,3.588849,-1.0798023,35.83261,30.913141,235.15677,6.389261,-0.28477004,0.79319376,2.5881474,-8.165699,0.28477004,99.24157094955444
6,12288,198.44232,80.37777,346.84113,105.53041,105.71551724137932,57.70797,21.980251,100.68679,25.93698,250.0,250.0,9.832776086956522193e-05,0.00029498327926421403415,9.832776086956522193e-05,0.00029498327926421403415,0.9410936,0.21262367,-0.49678323,22.522495,3.177401,-1.0272412,34.680458,30.148579,253.09254,5.7675476,-0.37674847,0.7102467,2.2626626,-8.153737,0.37674844,120.52164268493652
7,14336,272.2999,102.60551,460.86874,131.89307,113.408,101.51317,38.90874,164.69719,31.768087,212.55556,250.0,9.7993313043478263135e-05,0.00029397993511705681958,9.7993313043478263135e-05,0.00029397993511705681958,0.81142795,0.16057229,-0.42848524,22.052174,2.7906847,-0.81816643,35.14449,30.056837,289.2532,6.3057966,-0.4393704,0.6409794,2.034173,-8.064398,0.43937036,144.56551122665405
8,16384,329.1781,154.64537,607.8387,120.80171,121.62406015037594,95.33545,26.640041,153.17148,64.00696,250.0,250.0,9.765886521739130434e-05,0.00029297659096989963833,9.765886521739130434e-05,0.00029297659096989963833,0.70050263,0.124663696,-0.37098527,21.691744,2.425815,-0.77958006,38.357807,30.950138,333.71378,6.9157767,-0.46279836,0.61305714,1.926261,-6.8340797,0.46279824,170.29181909561157
9,18432,297.88376,101.88912,527.8759,166.86206,128.83916083916083,95.56816,55.602703,213.6741,45.179775,224.8,227.2,9.732441739130435665e-05,0.00029197324682274245705,9.732441739130435665e-05,0.00029197324682274245705,0.6054638,0.09935083,-0.32377794,21.60991,2.1093524,-0.7237915,41.88719,31.37521,357.88153,9.354403,-0.48354682,0.5845849,1.8001864,-8.074334,0.48354685,193.97013473510742
10,20480,274.65695,89.5605,420.5747,179.90083,135.25827814569536,90.34422,29.013033,136.47693,33.43895,250.0,250.0,9.698996956521739786e-05,0.0002909699026755852425,9.698996956521739786e-05,0.0002909699026755852425,0.52361697,0.08001661,-0.28108346,20.927332,1.8314633,-0.6450998,44.790394,31.400963,394.55304,11.198321,-0.49772266,0.56662315,1.7651371,-7.581839,0.49772272,213.5680902004242
11,22528,361.36874,169.15852,779.2879,196.76408,140.25157232704402,109.3315,33.227184,176.25858,48.268383,234.5,250.0,9.6655521739130439065e-05,0.00028996655852842806125,9.6655521739130439065e-05,0.00028996655852842806125,0.45313945,0.06693659,-0.24331087,20.235317,1.5884464,-0.57874805,48.63967,31.059254,387.11826,13.24221,-0.50513697,0.55314386,1.8947363,-7.357964,0.50513697,240.7306363582611
12,24576,324.77023,89.01451,551.0196,252.40372,146.13095238095238,96.5323,27.980728,153.39645,46.247486,250.0,250.0,9.632107391304348027e-05,0.00028896321438127087998,9.632107391304348027e-05,0.00028896321438127087998,0.39233238,0.056920324,-0.21241926,18.893667,1.3785177,-0.5522175,52.598053,30.442778,367.62463,17.022795,-0.513352,0.5453183,1.9081538,-7.221735,0.51335204,261.3631012439728
13,26624,378.40198,311.28452,1176.1516,161.62737,150.73863636363637,108.95802,36.356308,165.51357,39.549942,247.5,250.0,9.598662608695652148e-05,0.00028795987023411369873,9.598662608695652148e-05,0.00028795987023411369873,0.3399332,0.049308915,-0.18309839,18.604612,1.1938419,-0.5650187,57.10081,30.807993,370.12207,19.886486,-0.5115395,0.5497406,2.0405374,-7.823675,0.5115394,283.02458024024963
14,28672,314.35614,148.72833,660.99176,166.12448,154.0268817204301,89.284645,19.451601,120.759094,59.775204,211.9,250.0,9.565217826086957379e-05,0.00028695652608695648418,9.565217826086957379e-05,0.00028695652608695648418,0.29464474,0.040934313,-0.16219352,19.559,1.0357965,-0.809939,60.15573,30.922647,363.03262,23.792835,-0.515155,0.54596764,1.9468389,-6.718647,0.5151549,311.02555656433105
15,30720,436.29355,109.59945,682.0457,315.4481,157.39690721649484,116.46486,83.69354,361.56342,66.9625,235.75,245.0,9.5317730434782614995e-05,0.0002859531819397993029,9.5317730434782614995e-05,0.0002859531819397993029,0.25551656,0.033852763,-0.14197095,20.195833,0.8998004,-0.8841858,64.50529,31.404902,381.54724,26.648054,-0.5212736,0.53376293,2.0022025,-6.970133,0.5212736,333.6257424354553
16,32768,355.18546,101.391975,515.5342,230.91258,160.2450980392157,105.08766,20.950268,135.64828,71.07271,215.5,250.0,9.49832826086956562e-05,0.00028494983779264212166,9.49832826086956562e-05,0.00028494983779264212166,0.22164974,0.02799371,-0.12287321,20.727564,0.7810353,-0.871811,69.175735,32.151363,373.20374,30.534405,-0.52344894,0.5254674,1.9055204,-6.338175,0.52344894,357.44950461387634
17,34816,363.34048,136.8428,622.13873,181.38513,160.21658986175115,109.79614,34.52534,186.2641,62.333828,159.76923,250.0,9.464883478260869741e-05,0.0002839464936454849404,9.464883478260869741e-05,0.0002839464936454849404,0.19238666,0.023662861,-0.10790158,20.713602,0.67945087,-0.89933765,73.230644,32.788536,352.76297,33.877197,-0.5313193,0.5186371,2.0680768,-6.5588393,0.53131944,386.0563371181488
18,36864,332.5891,83.26459,470.0445,225.53642,161.95594713656388,105.48035,44.604836,203.0021,59.135246,199.7,250.0,9.4314386956521738615e-05,0.00028294314949832772584,9.4314386956521738615e-05,0.00028294314949832772584,0.16703892,0.019950997,-0.09390827,20.640783,0.590587,-0.87694883,76.61213,32.989582,319.51944,37.06008,-0.53538656,0.5146517,2.1956792,-6.707718,0.53538656,422.46963477134705
19,38912,283.4256,107.104095,467.849,118.10859,164.77118644067798,113.12787,35.673065,181.36154,62.356487,235.77777,250.0,9.3979939130434790925e-05,0.0002819398053511705446,9.3979939130434790925e-05,0.0002819398053511705446,0.14512107,0.017040208,-0.082223356,19.813555,0.5136801,-0.9380397,80.229904,32.546577,305.8827,41.16454,-0.53951895,0.5033709,2.9719832,-8.099423,0.539519,461.1596622467041
20,40960,320.0347,75.39324,430.4715,207.02931,166.0040650406504,138.90674,75.46089,305.88995,60.8348,195.1,234.1,9.364549130434783213e-05,0.00028093646120401336334,9.364549130434783213e-05,0.00028093646120401336334,0.12611093,0.014708039,-0.071588986,19.057453,0.4469732,-0.8562912,84.04139,32.416138,293.71814,41.677906,-0.5439906,0.49891612,3.857233,-6.6852875,0.5439906,491.28785514831543
21,43008,351.06992,94.624664,573.4283,241.18701,167.859375,119.441574,33.158813,171.17151,72.840355,213.5,250.0,9.331104347826087334e-05,0.00027993311705685614876,9.331104347826087334e-05,0.00027993311705685614876,0.10966978,0.012625851,-0.0625873,19.001131,0.38872698,-1.0020143,87.67799,32.725914,313.00946,25.951187,-0.5441857,0.501813,4.737945,-6.207835,0.5441856,524.9299809932709
22,45056,308.06567,89.59803,479.41882,161.37997,167.76492537313433,147.3205,57.819157,246.5028,67.13728,165.75,229.6,9.2976595652173914545e-05,0.00027892977290969896752,9.2976595652173914545e-05,0.00027892977290969896752,0.09540071,0.010757032,-0.055016365,18.855125,0.3385333,-1.1403004,91.47217,32.891174,324.01382,41.793182,-0.5483706,0.4933485,3.998815,-6.798017,0.5483706,564.0926711559296
23,47104,301.93253,130.35635,606.18884,152.57004,163.86411149825784,135.22348,46.83798,260.49683,79.44972,108.8421,235.5,9.264214782608695575e-05,0.00027792642876254178627,9.264214782608695575e-05,0.00027792642876254178627,0.08303297,0.0091421055,-0.04818999,18.947699,0.29498824,-1.1959449,95.73528,33.325264,327.72232,51.860928,-0.5524618,0.4893365,5.3581924,-7.5104103,0.55246174,608.7112448215485
24,49152,286.10733,105.838875,451.7375,133.968,162.71523178807948,164.27206,75.74609,301.5804,86.73272,140.73334,247.4,9.230770000000000806e-05,0.00027692308461538460502,9.230770000000000806e-05,0.00027692308461538460502,0.07228939,0.007727852,-0.042168435,18.257925,0.25720546,-1.1587605,99.87326,33.867638,323.48978,55.77743,-0.5577824,0.48103476,4.8343554,-7.175984,0.55778235,643.6669228076935
25,51200,281.50607,113.79973,586.1964,157.76106,158.75155279503105,147.9783,77.38894,304.7735,62.39644,98.9,237.0,9.197325217391304927e-05,0.00027591974046822739044,9.197325217391304927e-05,0.00027591974046822739044,0.06297463,0.0065307855,-0.0371413,18.528944,0.2243304,-1.3401139,103.540855,34.20793,333.5023,58.52928,-0.5619743,0.47228542,4.858729,-7.3706994,0.56197435,682.8977680206299
26,53248,301.39215,137.13849,590.4143,118.73707,157.42899408284023,125.979004,25.481997,177.38948,101.30693,130.8125,250.0,9.1638804347826090475e-05,0.0002749163963210702092,9.1638804347826090475e-05,0.0002749163963210702092,0.054875616,0.00557981,-0.032454707,18.11212,0.19586663,-1.138552,106.999725,33.924484,347.58987,60.03563,-0.5690698,0.4606546,3.74642,-6.153493,0.5690699,719.257762670517
27,55296,287.11002,69.977554,436.21323,167.14023,156.18361581920905,139.84349,59.26542,280.20883,70.339966,129.875,242.8,9.130435652173913168e-05,0.00027391305217391302795,9.130435652173913168e-05,0.00027391305217391302795,0.04800362,0.0048107426,-0.02868631,17.65532,0.17152329,-1.3179059,110.11203,33.848797,362.11893,65.6725,-0.5728778,0.45718247,3.5107799,-6.858783,0.5728778,762.1148283481598
28,57344,222.61485,54.505527,331.99847,150.78566,151.6153846153846,177.72711,56.632576,246.92937,69.741974,81.304344,152.4,9.096990869565217289e-05,0.00027290970802675581337,9.096990869565217289e-05,0.00027290970802675581337,0.04187546,0.0041031446,-0.025198169,17.382902,0.14986958,-1.2940428,113.106316,33.478233,352.948,68.961,-0.57872313,0.44088176,2.9989038,-6.4366226,0.5787231,799.4052562713623
29,59392,223.90816,63.973717,423.4213,144.26266,146.59753086419752,141.72043,52.367294,211.12878,69.98861,79.03571,206.3,9.06354608695652252e-05,0.00027190636387959863212,9.06354608695652252e-05,0.00027190636387959863212,0.036540218,0.0034745736,-0.022209937,17.326536,0.13092546,-1.4889193,115.95331,32.787716,352.9051,71.9163,-0.58282995,0.4357172,2.4901052,-6.853101,0.58282995,841.695015668869
30,61440,218.39174,83.808044,543.9374,141.93454,139.9840182648402,138.61234,43.709766,240.7696,84.72369,58.81818,206.2,9.0301013043478266405e-05,0.00027090301973244145087,9.0301013043478266405e-05,0.00027090301973244145087,0.031903114,0.0029439665,-0.01960484,16.514769,0.114563644,-1.5135071,118.62861,31.32912,348.44086,76.488884,-0.59068966,0.42215782,2.7057872,-5.4688153,0.5906896,882.5521516799927
31,63488,216.06001,59.723457,367.82867,146.46341,134.2093023255814,144.79614,58.105103,238.80174,59.957,61.942856,165.8,8.996656521739130761e-05,0.0002698996755852842696,8.996656521739130761e-05,0.0002698996755852842696,0.027862692,0.0024452046,-0.017407598,16.910267,0.10027571,-1.7932079,121.18564,29.098423,341.66867,79.820435,-0.59871346,0.40421662,1.6212935,-6.29376,0.5987135,924.1040651798248
32,65536,231.0421,73.28393,481.03796,160.21515,129.9265873015873,159.47049,42.247345,225.12312,88.12326,64.58064,146.4,8.963211739130434882e-05,0.00026889633143812705505,8.963211739130434882e-05,0.00026889633143812705505,0.024348425,0.001995396,-0.0153976055,16.778154,0.0877924,-2.0446284,123.4564,26.245697,338.94266,76.31798,-0.60545003,0.3932846,1.5764594,-6.446327,0.6054501,964.0129597187042
33,67584,219.27266,82.290184,633.54785,136.23682,124.15992647058823,190.47466,34.806286,246.45238,109.237015,51.5,120.6,8.929766956521740113e-05,0.0002678929872909698738,8.929766956521740113e-05,0.0002678929872909698738,0.021284578,0.0016359377,-0.013525572,17.804913,0.0768498,-2.0949354,125.74623,23.268847,332.26324,68.75407,-0.61035264,0.3831785,1.3116202,-6.03936,0.61035275,1002.0379524230957
34,69632,201.82738,47.16999,356.27924,142.15929,118.80546075085324,172.33769,48.986153,243.2135,94.24127,49.45238,121.2,8.8963221739130442335e-05,0.00026688964314381269253,8.8963221739130442335e-05,0.00026688964314381269253,0.018617501,0.001369013,-0.011877611,18.006662,0.067369476,-1.7558393,128.30229,20.540237,312.64178,76.49721,-0.618383,0.36600688,1.084979,-6.0611906,0.61838293,1047.9030046463013
35,71680,193.43466,36.523815,318.07925,136.72462,111.30124223602485,156.76414,63.555763,274.8779,74.895096,35.482758,175.8,8.862877391304348354e-05,0.00026588629899665551128,8.862877391304348354e-05,0.00026588629899665551128,0.016289314,0.0011694651,-0.010487447,17.10887,0.059060983,-1.7220393,131.25331,18.582563,302.6088,83.640305,-0.62553847,0.3470469,0.9688344,-5.9052525,0.6255385,1086.3280127048492
36,73728,182.93686,30.086666,269.14563,142.24033,104.24893917963225,182.25174,25.02505,222.19136,142.87804,32.15873,59.0,8.829432608695652475e-05,0.00026488295484949829673,8.829432608695652475e-05,0.00026488295484949829673,0.014261193,0.0009836545,-0.009307734,16.37106,0.051799145,-2.0731962,134.15105,16.915697,292.4906,86.129906,-0.63200325,0.33272144,1.0011892,-5.9887652,0.63200325,1136.2582569122314
37,75776,187.22476,29.575323,319.8802,132.63646,97.6340206185567,178.58252,17.56472,201.63719,137.90034,29.855072,67.0,8.7959878260869565954e-05,0.00026387961070234111546,8.7959878260869565954e-05,0.00026387961070234111546,0.012488909,0.0008392121,-0.008191853,15.184155,0.045475665,-1.5695813,137.26125,15.550869,280.86237,83.05678,-0.64102536,0.30696297,0.9988842,-5.7836895,0.64102536,1186.2772660255432
38,77824,180.45998,32.68346,299.68765,135.30565,90.68531468531468,183.0259,33.050167,254.78122,150.31628,24.926828,35.0,8.7625430434782618265e-05,0.0002628762665551839342,8.7625430434782618265e-05,0.0002628762665551839342,0.01094415,0.0007206534,-0.0072563007,14.813266,0.03989163,-2.0216029,140.5262,14.857859,280.36472,81.14905,-0.64472866,0.2959727,0.9319918,-5.4289393,0.64472884,1235.1624302864075
39,79872,176.77133,24.303328,240.0013,134.27986,84.5121693121693,187.97397,24.19502,226.45079,155.89633,23.632183,35.2,8.729098260869565947e-05,0.00026187292240802671966,8.729098260869565947e-05,0.00026187292240802671966,0.009593602,0.0005874488,-0.006476024,13.725437,0.0350426,-2.7483435,143.27505,13.917347,274.05768,78.04447,-0.6525092,0.2754587,1.0061122,-6.087162,0.65250915,1292.0418322086334
40,81920,174.81328,24.41997,252.68419,139.88739,78.91425818882466,185.20537,13.009954,201.01105,156.89664,22.032259,34.7,8.695653478260870068e-05,0.00026086957826086953838,8.695653478260870068e-05,0.00026086957826086953838,0.008414384,0.00046825522,-0.00573817,12.6971855,0.030795105,-3.0970454,145.86497,13.399584,270.2098,76.577805,-0.6595877,0.24664831,0.8059852,-7.3778553,0.6595876,1338.1736299991608
41,83968,179.16768,28.61677,280.01334,134.46149,74.1660777385159,188.49936,33.102886,230.62611,144.9195,21.734043,44.7,8.6622086956521741884e-05,0.00025986623411371235714,8.6622086956521741884e-05,0.00025986623411371235714,0.00738261,0.00036415056,-0.00507644,12.52323,0.027061945,-3.5827978,148.62575,13.383718,273.0892,81.49646,-0.66537595,0.22451936,0.5453681,-6.10559,0.66537595,1375.0831303596497
42,86016,181.11353,28.003002,275.9167,134.71545,69.75182481751825,171.42743,15.652435,203.62025,147.43333,20.277227,24.1,8.628763913043478309e-05,0.0002588628899665551759,8.628763913043478309e-05,0.0002588628899665551759,0.006481559,0.00027597728,-0.004485494,12.43212,0.023784883,-4.365925,151.11641,13.564909,271.055,74.52516,-0.66939235,0.20494087,0.52134156,-7.318064,0.66939235,1428.3596119880676
