Epoch,TotalEnvInteracts,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,Ep_lens_mean,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,AverageEpLen,AverageTestEpLen,Lr_a,Lr_c,Lr_alpha,Lr_labda,AverageAlpha,AverageLambda,AverageLossPi,AverageErrorL,AverageLossAlpha,AverageLossLambda,AverageLVals,StdLVals,MaxLVals,MinLVals,AverageLogPi,StdLogPi,MaxLogPi,MinLogPi,AverageEntropy,Time
1,2048,228.25533,92.20979,725.8522,142.63422,28.542857142857144,672.2121,246.62749,1182.0743,317.52435,28.542856,127.1,0.00010000000000000000479,0.00029999999999999997372,0.00010000000000000000479,0.00029999999999999997372,1.9178109,0.9426727,-1.5212955,127.64148,6.437632,-0.052414358,14.274623,12.08357,182.23087,0.123228714,-0.35287052,0.7644703,4.54152,-7.4160066,0.35287052,8.462616920471191
2,4096,395.90506,150.92119,785.52563,194.52063,40.744897959183675,525.3373,221.26201,944.09406,216.85524,71.25,184.7,9.9665552173913046e-05,0.00029899665585284279247,9.9665552173913046e-05,0.00029899665585284279247,1.7107074,0.79681504,-0.5730243,30.566133,5.4033494,-0.076354004,33.19524,21.635147,180.93965,4.7338853,-0.1565229,0.88067925,3.8933055,-10.86492,0.15652293,21.28292489051819
3,6144,517.88885,220.45122,1097.7275,198.73221,54.107142857142854,298.13663,178.57375,655.5931,94.99391,147.64285,208.3,9.9331104347826087205e-05,0.0002979933117056855779,9.9331104347826087205e-05,0.0002979933117056855779,1.4766603,0.6990409,-0.29633963,38.492424,4.4056983,-0.18172,49.063553,29.386942,220.92795,11.308894,0.017917152,0.95790225,3.1097777,-8.143937,-0.017917149,39.67999768257141
4,8192,361.4374,180.56683,732.1393,140.64871,66.4390243902439,256.89877,106.470184,485.69977,122.18826,192.0,216.7,9.8996656521739139516e-05,0.00029698996755852839665,9.8996656521739139516e-05,0.00029698996755852839665,1.2765707,0.5149796,-0.5404645,48.553257,3.7760675,-0.7895559,51.734745,33.88903,252.8901,7.8668103,0.04156773,0.95887357,3.0774827,-8.544687,-0.04156774,74.18374228477478
5,10240,462.40057,143.9091,767.034,297.87866,75.21804511278195,338.53464,216.29736,879.1122,87.54796,183.2,225.5,9.866220869565218072e-05,0.0002959866234113712154,9.866220869565218072e-05,0.0002959866234113712154,1.1009338,0.34794945,-0.52270365,47.2931,3.3646135,-1.4312632,50.88026,35.366737,237.94344,9.684399,-0.057066094,0.91921324,3.057544,-8.888552,0.0570661,110.66582345962524
6,12288,412.45474,164.01375,767.1213,192.09143,83.0,380.70245,257.8251,915.2285,96.16078,152.0,220.7,9.832776086956522193e-05,0.00029498327926421403415,9.832776086956522193e-05,0.00029498327926421403415,0.9481119,0.22924054,-0.49183953,43.723873,3.003306,-2.1398308,48.25736,35.022663,246.69249,9.748402,-0.16874556,0.8531403,2.6166296,-8.201665,0.16874553,140.4602746963501
7,14336,430.30508,217.58409,884.3018,154.95659,87.84049079754601,340.8457,131.99768,623.4672,183.78629,135.6,203.9,9.7993313043478263135e-05,0.00029397993511705681958,9.7993313043478263135e-05,0.00029397993511705681958,0.8166613,0.15640268,-0.40062293,41.813587,2.676476,-2.0377312,47.95608,34.61251,235.26091,10.0377445,-0.27845064,0.7822077,2.3222306,-9.311512,0.2784506,176.35744643211365
8,16384,339.53305,162.64464,753.6428,165.76482,92.1864406779661,348.61533,150.6003,612.29895,169.45415,142.78572,151.0,9.765886521739130434e-05,0.00029297659096989963833,9.765886521739130434e-05,0.00029297659096989963833,0.7039441,0.11306322,-0.34594426,41.41085,2.3626106,-1.8199272,49.916336,34.27044,242.73763,12.224527,-0.35678566,0.71640825,1.9386711,-7.5768895,0.35678566,208.83196449279785
9,18432,439.5977,182.102,683.39355,183.72208,96.93157894736842,408.37717,162.96844,705.65686,153.31445,161.53847,187.7,9.732441739130435665e-05,0.00029197324682274245705,9.732441739130435665e-05,0.00029197324682274245705,0.6077096,0.08529566,-0.29826796,41.8534,2.069853,-1.4958109,53.43849,34.357044,229.20042,13.647734,-0.40609244,0.6683576,1.7932497,-7.7432775,0.40609246,244.68802952766418
10,20480,437.15143,263.0504,947.66064,167.36409,97.62679425837321,332.77692,106.129036,508.9255,201.19174,104.57895,185.7,9.698996956521739786e-05,0.0002909699026755852425,9.698996956521739786e-05,0.0002909699026755852425,0.52515906,0.06451112,-0.2676894,45.682693,1.8041126,-1.6726855,58.984634,35.04611,259.32718,18.326769,-0.43525493,0.6410761,1.7846085,-7.690665,0.43525496,274.91871404647827
