Epoch,TotalEnvInteracts,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,Ep_lens_mean,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,AverageEpLen,AverageTestEpLen,Lr_a,Lr_c,Lr_alpha,Lr_labda,AverageAlpha,AverageLambda,AverageLossPi,AverageErrorL,AverageLossAlpha,AverageLossLambda,AverageLVals,StdLVals,MaxLVals,MinLVals,AverageLogPi,StdLogPi,MaxLogPi,MinLogPi,AverageEntropy,Time
1,2048,207.44843,58.53167,442.88486,139.05206,22.0,492.41397,136.7845,644.1745,253.9171,22.0,77.9,0.00010000000000000000479,0.00029999999999999997372,0.00010000000000000000479,0.00029999999999999997372,1.9175262,0.9750328,-0.8015174,148.27553,2.845079,-0.003097657,16.12598,13.851058,136.6288,0.04101193,-0.48177657,0.55340415,3.7592342,-7.429127,0.48177657,8.53978967666626
2,4096,632.076,337.91708,1351.4694,230.78972,37.19090909090909,272.77484,146.21945,557.06464,90.2032,109.947365,245.4,9.9665552173913046e-05,0.00029899665585284279247,9.9665552173913046e-05,0.00029899665585284279247,1.7286441,0.9423464,-0.5043483,30.369444,1.8483096,-0.035872854,40.783665,25.875858,184.74306,7.1911607,-0.06710503,1.0011743,4.720647,-11.253838,0.06710503,25.224764108657837
3,6144,437.13898,201.12312,762.7735,160.78477,50.016949152542374,200.74701,150.63255,550.97235,55.59574,226.375,211.7,9.9331104347826087205e-05,0.0002979933117056855779,9.9331104347826087205e-05,0.0002979933117056855779,1.5028757,0.72825104,-0.4081336,29.517263,1.6399368,-0.112690106,58.381786,26.681532,211.64183,18.194016,-0.09207046,0.9862606,3.990776,-8.10838,0.09207045,41.81842637062073
4,8192,352.58264,363.10632,1098.0011,103.503296,64.18110236220473,141.19405,79.15841,345.61932,44.763535,249.88889,250.0,9.8996656521739139516e-05,0.00029698996755852839665,9.8996656521739139516e-05,0.00029698996755852839665,1.2934868,0.6188652,-0.31888527,37.663204,1.4656183,-0.11332926,66.832375,28.171202,231.59653,28.581366,-0.13319801,0.9586662,4.187293,-9.745638,0.13319801,57.23487401008606
5,10240,280.74048,190.95638,616.6197,110.50893,75.19259259259259,78.49669,53.863266,229.0953,22.334433,250.0,250.0,9.866220869565218072e-05,0.0002959866234113712154,9.866220869565218072e-05,0.0002959866234113712154,1.1158707,0.52085817,-0.35896236,42.632736,1.251485,-0.28874508,74.74174,31.94474,263.4202,32.957508,-0.12150594,0.94104636,4.3375244,-9.283258,0.12150594,75.51252555847168
6,12288,178.56892,165.89378,574.57544,58.319103,84.4895104895105,66.24939,31.487848,147.46867,23.987661,241.375,250.0,9.832776086956522193e-05,0.00029498327926421403415,9.832776086956522193e-05,0.00029498327926421403415,0.9629203,0.40005025,-0.3728707,44.3276,1.114973,-0.5103386,76.3725,35.41152,268.6572,30.992224,-0.15865196,0.90193284,4.0777836,-8.618408,0.15865195,90.68173909187317
7,14336,189.4888,173.90442,659.8307,79.75787,93.41447368421052,71.67604,23.356266,112.631386,41.99348,235.22223,250.0,9.7993313043478263135e-05,0.00029397993511705681958,9.7993313043478263135e-05,0.00029397993511705681958,0.8291838,0.30093706,-0.35590762,43.371117,1.0060724,-0.7236888,77.0734,39.276,287.58603,31.062386,-0.21378909,0.86439806,3.9344878,-8.632107,0.21378908,108.29110407829285
8,16384,168.23875,76.02792,338.27713,59.04048,101.75776397515529,50.200764,21.348562,82.222244,18.142307,242.66667,250.0,9.765886521739130434e-05,0.00029297659096989963833,9.765886521739130434e-05,0.00029297659096989963833,0.7138419,0.22145563,-0.33590737,40.311634,0.9098679,-0.9514836,77.07226,41.770992,304.70084,26.937511,-0.27524143,0.8122909,3.4944303,-8.777744,0.27524143,124.38556814193726
9,18432,234.02065,96.372986,388.14072,126.08473,108.6508875739645,50.615032,20.239704,95.41008,27.232136,247.375,250.0,9.732441739130435665e-05,0.00029197324682274245705,9.732441739130435665e-05,0.00029197324682274245705,0.61467534,0.1642018,-0.3017822,38.25499,0.8205726,-1.0580049,76.77235,42.531677,300.95547,24.365927,-0.33547515,0.7554256,2.9530878,-6.9683714,0.33547515,140.88932132720947
10,20480,196.91351,94.825455,396.28976,75.69964,115.02808988764045,70.10231,20.567484,100.50041,38.221474,234.77777,250.0,9.698996956521739786e-05,0.0002909699026755852425,9.698996956521739786e-05,0.0002909699026755852425,0.5300725,0.1211051,-0.27114365,36.232933,0.72572064,-1.313407,75.18623,42.169697,315.20447,25.854198,-0.369559,0.7255357,2.8892484,-7.814461,0.36955893,156.64658784866333
