Epoch,TotalEnvInteracts,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,Ep_lens_mean,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,AverageEpLen,AverageTestEpLen,Lr_a,Lr_c,Lr_alpha,Lr_labda,AverageAlpha,AverageLambda,AverageLossPi,AverageErrorL,AverageLossAlpha,AverageLossLambda,AverageLVals,StdLVals,MaxLVals,MinLVals,AverageLogPi,StdLogPi,MaxLogPi,MinLogPi,AverageEntropy,Time
1,2048,193.82713,57.441242,555.1458,129.52054,19.901960784313726,226.74301,56.831383,363.83142,175.0613,19.90196,30.5,0.00010000000000000000479,0.00029999999999999997372,0.00010000000000000000479,0.00029999999999999997372,1.9187763,0.9655782,-1.0926723,150.14867,2.8293555,-0.006362625,14.917228,14.216205,160.94788,0.036760896,-0.47254336,0.5557221,3.33599,-7.4026737,0.47254342,9.69423508644104
2,4096,399.18063,254.40324,1099.8656,150.69063,31.1875,425.85287,207.5772,872.72845,221.3248,75.46154,104.0,9.9665552173913046e-05,0.00029899665585284279247,9.9665552173913046e-05,0.00029899665585284279247,1.7254572,1.0,-0.18494107,38.07003,1.9201158,-0.0002563378,37.856407,24.425055,229.74269,3.7981577,-0.109095596,0.8912446,4.3394904,-10.952121,0.109095596,22.728718280792236
3,6144,562.27057,263.1991,1064.4011,193.04251,42.1063829787234,330.06964,102.09506,583.19794,217.4526,149.61539,114.2,9.9331104347826087205e-05,0.0002979933117056855779,9.9331104347826087205e-05,0.0002979933117056855779,1.5071481,0.9085322,-0.35625994,34.622066,1.533834,-0.037013862,51.900837,26.429296,225.35548,13.739502,-0.018114788,0.9004052,4.317292,-7.8809624,0.018114788,38.934760093688965
4,8192,553.34827,230.27437,991.0051,179.02272,52.55263157894737,473.03656,244.9774,938.79706,141.26532,186.45454,163.3,9.8996656521739139516e-05,0.00029698996755852839665,9.8996656521739139516e-05,0.00029698996755852839665,1.3038936,0.71789205,-0.42006415,33.62155,1.3363113,-0.19238529,62.272305,26.468836,221.68768,23.493288,-0.025019906,0.9021203,3.987432,-8.2432575,0.0250199,52.92493772506714
5,10240,445.0791,184.36119,762.59985,172.84528,61.853658536585364,293.34793,70.09533,428.5282,183.92734,179.66667,212.1,9.866220869565218072e-05,0.0002959866234113712154,9.866220869565218072e-05,0.0002959866234113712154,1.1238297,0.5167636,-0.46676007,33.87743,1.2103201,-0.5066547,70.97544,27.602951,249.01218,26.600014,-0.077276364,0.9051675,3.5760288,-9.628994,0.077276364,68.35312914848328
6,12288,436.70572,146.9193,708.97186,224.78897,69.22727272727273,337.09952,126.76924,619.2748,177.0014,170.0,197.3,9.832776086956522193e-05,0.00029498327926421403415,9.832776086956522193e-05,0.00029498327926421403415,0.9672337,0.34080482,-0.5504028,34.57804,1.0896888,-1.4169372,75.06716,29.598461,257.07068,29.93912,-0.12753493,0.889287,3.2704587,-9.549791,0.12753493,82.42297124862671
7,14336,447.08624,248.52887,994.3639,192.81152,74.96858638743456,384.26544,140.93729,680.43884,161.2254,142.33333,217.7,9.7993313043478263135e-05,0.00029397993511705681958,9.7993313043478263135e-05,0.00029397993511705681958,0.83131975,0.20810848,-0.50701964,32.996365,1.0070808,-2.5081916,74.773544,30.791843,260.63748,29.59463,-0.21280023,0.848954,2.8559914,-8.014915,0.21280023,96.52284479141235
8,16384,406.65048,206.51584,951.3325,205.49734,78.11483253588517,459.4961,156.24893,706.8668,294.83136,111.5,215.6,9.765886521739130434e-05,0.00029297659096989963833,9.765886521739130434e-05,0.00029297659096989963833,0.7136208,0.13304445,-0.42564633,34.215996,0.93303037,-3.1443524,75.20822,32.815342,278.703,28.926281,-0.30822697,0.7725849,2.5142984,-8.281998,0.30822703,109.4354395866394
9,18432,359.31,216.60104,1129.7017,162.516,80.73245614035088,324.9305,179.30037,682.06555,149.90332,109.52631,140.8,9.732441739130435665e-05,0.00029197324682274245705,9.732441739130435665e-05,0.00029197324682274245705,0.61348903,0.087556615,-0.35968468,37.225502,0.85328716,-3.3052797,76.737144,35.331997,299.8164,29.316013,-0.39189366,0.69151294,2.4090846,-7.538978,0.39189366,125.56378293037415
10,20480,384.3978,185.93687,774.12213,154.20547,81.58167330677291,440.55948,142.07227,600.8252,181.64388,90.0,206.8,9.698996956521739786e-05,0.0002909699026755852425,9.698996956521739786e-05,0.0002909699026755852425,0.52813315,0.059615735,-0.31234792,45.900955,0.7637809,-3.6298416,80.43179,39.19631,320.28098,25.82956,-0.4465876,0.63422745,2.1766827,-6.912719,0.4465876,140.30671191215515
