Epoch,TotalEnvInteracts,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,Ep_lens_mean,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,AverageEpLen,AverageTestEpLen,Lr_a,Lr_c,Lr_alpha,Lr_labda,AverageAlpha,AverageLambda,AverageLossPi,AverageErrorL,AverageLossAlpha,AverageLossLambda,AverageLVals,StdLVals,MaxLVals,MinLVals,AverageLogPi,StdLogPi,MaxLogPi,MinLogPi,AverageEntropy,Time
1,2048,197.87111,54.484932,420.11597,136.54282,21.54736842105263,254.3769,47.6164,378.84674,197.93509,21.547369,33.8,0.00010000000000000000479,0.00029999999999999997372,0.00010000000000000000479,0.00029999999999999997372,1.9173925,0.96438795,-0.46443474,142.86917,2.8924494,-0.018354168,14.289582,12.860898,135.76625,0.026889354,-0.5076447,0.53394437,3.659871,-10.20282,0.5076447,7.187837600708008
2,4096,383.0679,202.66039,832.4909,191.70474,33.421487603305785,342.5119,290.0225,939.87695,53.216663,76.80769,250.0,9.9665552173913046e-05,0.00029899665585284279247,9.9665552173913046e-05,0.00029899665585284279247,1.7268561,0.999185,-0.35179102,32.10171,1.8565004,0.0066105025,38.104225,24.48089,189.0809,5.190956,-0.072469115,0.9897805,5.5793777,-9.215818,0.07246911,19.313133001327515
3,6144,469.1836,308.59705,1344.2018,230.66875,46.7557251908397,105.91266,47.360603,215.01309,33.657883,208.1,250.0,9.9331104347826087205e-05,0.0002979933117056855779,9.9331104347826087205e-05,0.0002979933117056855779,1.5060267,0.8928837,-0.37920234,29.417824,1.5815636,-0.03508117,49.91015,27.03266,202.19746,15.130648,-0.050712578,0.9714947,5.4639335,-8.4865,0.05071257,31.621488571166992
4,8192,156.34796,87.09003,271.7202,53.387432,58.45323741007194,92.66615,51.704124,165.88478,26.47252,250.0,250.0,9.8996656521739139516e-05,0.00029698996755852839665,9.8996656521739139516e-05,0.00029698996755852839665,1.2996135,0.73699117,-0.43777904,33.027348,1.3947171,-0.14890812,56.35761,27.635992,209.96518,22.592724,-0.07320905,0.93432134,4.70487,-11.661678,0.07320904,43.018218755722046
5,10240,146.86899,66.44233,258.6432,65.35543,68.87755102040816,71.66473,41.986732,170.45891,16.603506,250.0,250.0,9.866220869565218072e-05,0.0002959866234113712154,9.866220869565218072e-05,0.0002959866234113712154,1.1204635,0.5396494,-0.52070427,32.097916,1.2443049,-0.46631578,56.84405,28.390574,213.37723,25.325974,-0.111669265,0.8965453,3.4140997,-8.318388,0.111669265,56.37043762207031
6,12288,164.59686,72.62231,309.6089,77.60522,78.2258064516129,55.246986,28.172207,127.86278,32.536346,250.0,250.0,9.832776086956522193e-05,0.00029498327926421403415,9.832776086956522193e-05,0.00029498327926421403415,0.96275955,0.37423226,-0.48933727,29.654203,1.1512791,-0.78784806,55.48853,28.23765,218.34372,24.577522,-0.19668782,0.8525521,3.477363,-8.924275,0.19668783,69.54603481292725
7,14336,146.90836,42.81659,203.86044,75.666985,86.65644171779141,75.07138,18.9654,104.50724,47.35804,250.0,250.0,9.7993313043478263135e-05,0.00029397993511705681958,9.7993313043478263135e-05,0.00029397993511705681958,0.8269972,0.2685989,-0.410555,28.539522,1.0555449,-0.8857449,54.467667,27.597012,214.73178,24.902828,-0.27730882,0.7948383,3.0798674,-7.786783,0.27730888,84.85037899017334
8,16384,165.1243,53.194588,284.9666,81.12853,95.20348837209302,67.83424,22.719007,119.64621,40.012215,250.0,250.0,9.765886521739130434e-05,0.00029297659096989963833,9.765886521739130434e-05,0.00029297659096989963833,0.7106106,0.20310493,-0.34803993,26.546043,0.9674555,-0.7041929,54.238625,26.70238,222.45569,23.851599,-0.36248398,0.7219732,2.932776,-8.248573,0.36248395,100.9291603565216
9,18432,234.51297,146.59154,575.6174,107.56318,101.56111111111112,99.15725,42.382828,176.47812,46.901917,238.25,250.0,9.732441739130435665e-05,0.00029197324682274245705,9.732441739130435665e-05,0.00029197324682274245705,0.6122058,0.1598772,-0.30960345,24.473032,0.8488052,-0.8252238,54.511013,25.766552,227.03397,25.93492,-0.38717723,0.6976845,2.840927,-8.228904,0.38717723,128.94607162475586
10,20480,233.9696,104.87991,417.0635,129.35901,107.87765957446808,71.94247,26.261402,125.51882,34.823936,250.0,250.0,9.698996956521739786e-05,0.0002909699026755852425,9.698996956521739786e-05,0.0002909699026755852425,0.5283333,0.12758498,-0.2697779,23.306225,0.75008804,-0.7772998,55.67767,25.146496,228.42136,27.671043,-0.41976258,0.6598964,2.734889,-9.405699,0.41976258,160.71938347816467
11,22528,270.70197,124.733925,616.25323,150.23833,113.1919191919192,97.09201,50.58399,190.99037,25.146643,213.1,250.0,9.6655521739130439065e-05,0.00028996655852842806125,9.6655521739130439065e-05,0.00028996655852842806125,0.4566085,0.10503868,-0.23194855,21.591002,0.6596696,-0.6195334,57.503754,24.425892,226.05933,27.02496,-0.4446814,0.63227385,2.4517207,-9.877448,0.4446814,194.2661452293396
12,24576,304.09714,129.30226,498.78635,142.68858,118.4368932038835,73.18489,27.987398,125.192696,33.584915,248.25,250.0,9.632107391304348027e-05,0.00028896321438127087998,9.632107391304348027e-05,0.00028896321438127087998,0.39495477,0.08887768,-0.20409477,20.366112,0.5742859,-0.6773193,60.348614,24.319765,227.4535,30.199184,-0.45381972,0.62677884,2.5563521,-8.73547,0.45381972,223.40582752227783
13,26624,235.00719,59.70628,329.68546,147.18791,122.38248847926268,80.70097,26.12144,134.95016,34.77272,196.27272,250.0,9.598662608695652148e-05,0.00028795987023411369873,9.598662608695652148e-05,0.00028795987023411369873,0.34207696,0.07574655,-0.17602597,19.217478,0.49969184,-0.63063383,62.704994,24.0535,230.46246,32.068848,-0.4607348,0.6109585,2.529687,-6.5702844,0.46073478,255.60184025764465
14,28672,336.357,202.97745,837.02716,172.40575,126.67555555555556,66.152954,33.887722,147.09787,27.31624,243.125,250.0,9.565217826086957379e-05,0.00028695652608695648418,9.565217826086957379e-05,0.00028695652608695648418,0.2964142,0.06387171,-0.15585494,19.11629,0.43353406,-0.80574465,65.03908,24.01472,240.46126,33.116898,-0.46269235,0.6075328,2.4219387,-8.750472,0.4626924,286.55289673805237
