Epoch,TotalEnvInteracts,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,Ep_lens_mean,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,AverageEpLen,AverageTestEpLen,Lr_a,Lr_c,Lr_alpha,Lr_labda,AverageAlpha,AverageLambda,AverageLossPi,AverageErrorL,AverageLossAlpha,AverageLossLambda,AverageLVals,StdLVals,MaxLVals,MinLVals,AverageLogPi,StdLogPi,MaxLogPi,MinLogPi,AverageEntropy,Time
1,2048,228.78302,92.15863,536.8253,139.23576,25.105263157894736,556.95514,290.90915,2287.1008,142.5269,25.105263,107.416,0.00010000000000000000479,0.00029999999999999997372,0.00010000000000000000479,0.00029999999999999997372,1.9167947,0.98539567,-0.63457745,113.56884,6.600626,-0.0070732106,16.41723,14.171221,145.5047,0.17273651,-0.44014978,0.63189495,4.021654,-7.054794,0.44014987,51.26855492591858
2,4096,512.27905,260.77402,1114.9927,177.72461,41.06382978723404,466.4533,265.88132,1403.3789,47.8142,108.44444,225.284,9.9665552173913046e-05,0.00029899665585284279247,9.9665552173913046e-05,0.00029899665585284279247,1.7130893,0.9297043,-0.57944274,29.169014,5.2736816,-0.026017638,36.639427,23.529184,189.51617,5.238808,-0.07728921,0.93237376,4.427823,-10.238752,0.0772892,150.98540878295898
3,6144,440.30334,213.07202,867.87067,173.37106,57.67619047619048,171.75612,93.23998,558.8986,24.287,199.63637,247.76,9.9331104347826087205e-05,0.0002979933117056855779,9.9331104347826087205e-05,0.0002979933117056855779,1.4775842,0.8256405,-0.21491788,31.762793,4.485361,-0.043739658,51.086384,28.540113,201.78488,12.290292,-0.03373012,0.95128584,3.59515,-9.469901,0.033730116,259.14222741127014
4,8192,287.61307,174.22548,572.607,103.61151,70.34513274336283,110.40248,55.535175,422.371,26.806007,236.625,248.708,9.8996656521739139516e-05,0.00029698996755852839665,9.8996656521739139516e-05,0.00029698996755852839665,1.2771208,0.6199844,-0.76243424,35.647995,3.7605371,-0.737453,54.94331,32.844387,211.2055,11.720782,0.055763837,0.9936252,4.345408,-7.9501753,-0.05576385,369.61870288848877
5,10240,212.52719,83.65787,359.37393,90.28093,81.9672131147541,149.50273,96.82035,640.7251,25.699406,227.88889,246.804,9.866220869565218072e-05,0.0002959866234113712154,9.866220869565218072e-05,0.0002959866234113712154,1.1022178,0.37098348,-0.7913345,29.504246,3.371436,-1.9245094,48.57846,33.369656,223.01909,11.421322,-0.061131462,0.935082,3.9893293,-7.729104,0.061131462,490.99064898490906
6,12288,282.50677,139.90651,613.74493,104.73547,91.2781954887218,193.7541,86.43918,610.0525,43.277576,194.54546,247.166,9.832776086956522193e-05,0.00029498327926421403415,9.832776086956522193e-05,0.00029498327926421403415,0.9476057,0.24654779,-0.546938,22.47198,3.0836592,-1.7005118,43.586548,31.201508,232.15056,10.526117,-0.2556838,0.8187232,3.4592004,-10.240778,0.25568384,596.6617140769958
7,14336,412.0905,127.72277,684.42566,294.28723,98.65734265734265,241.417,100.5851,791.4508,67.20345,196.8,242.146,9.7993313043478263135e-05,0.00029397993511705681958,9.7993313043478263135e-05,0.00029397993511705681958,0.81520414,0.18452519,-0.42310312,19.164669,2.753732,-1.0353658,45.087177,29.17517,261.10883,12.514247,-0.37838942,0.71309304,3.2563803,-8.36372,0.37838933,710.8388252258301
8,16384,412.85403,152.37518,717.2336,191.13182,105.31612903225806,258.69928,101.84709,824.683,91.926254,184.66667,243.318,9.765886521739130434e-05,0.00029297659096989963833,9.765886521739130434e-05,0.00029297659096989963833,0.7029669,0.14490218,-0.36164758,19.046513,2.4044843,-0.8728442,49.33625,29.104834,263.7705,16.25323,-0.42080742,0.66847456,2.9610393,-10.980263,0.42080742,804.9363121986389
9,18432,473.4275,163.72945,791.41473,230.7947,111.47878787878788,299.55295,110.67797,991.9158,95.55379,207.0,238.352,9.732441739130435665e-05,0.00029197324682274245705,9.732441739130435665e-05,0.00029197324682274245705,0.6073785,0.11364662,-0.31346515,20.138233,2.0850463,-0.9680491,54.538418,29.338778,278.84033,19.3026,-0.43274656,0.6495688,2.924047,-10.627464,0.43274653,907.3736855983734
10,20480,447.5651,189.54904,779.23157,202.53288,115.62146892655367,281.97543,107.95068,693.8095,67.64576,172.58333,242.978,9.698996956521739786e-05,0.0002909699026755852425,9.698996956521739786e-05,0.0002909699026755852425,0.52523744,0.0889663,-0.27371094,21.77198,1.8115219,-1.0475653,60.099213,29.488197,291.38388,24.237045,-0.44874546,0.62485284,2.7715485,-7.399734,0.4487455,1007.0751385688782
