Epoch,TotalEnvInteracts,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,Ep_lens_mean,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,AverageEpLen,AverageTestEpLen,Lr_a,Lr_c,Lr_alpha,Lr_labda,AverageAlpha,AverageLambda,AverageLossPi,AverageErrorL,AverageLossAlpha,AverageLossLambda,AverageLVals,StdLVals,MaxLVals,MinLVals,AverageLogPi,StdLogPi,MaxLogPi,MinLogPi,AverageEntropy,Time
1,2048,203.1545,68.614296,561.3694,128.28717,20.535353535353536,295.72556,57.435402,379.85327,222.5185,20.535353,40.7,0.00010000000000000000479,0.00029999999999999997372,0.00010000000000000000479,0.00029999999999999997372,1.9193195,0.9807007,-0.5400309,150.43555,2.7544367,-0.014569328,15.696336,14.710995,161.44008,0.06038094,-0.43306285,0.6643979,5.3978705,-7.1771197,0.43306288,6.122127056121826
2,4096,438.57703,239.441,1153.0724,186.51439,32.624,379.8437,214.08652,755.5514,51.449127,78.65385,153.5,9.9665552173913046e-05,0.00029899665585284279247,9.9665552173913046e-05,0.00029899665585284279247,1.7232989,1.0,-0.05819564,36.435986,1.96203,-0.020909319,41.367012,24.066828,235.30328,6.7515817,-0.13532351,0.9330379,4.2447414,-8.401249,0.13532348,16.15073323249817
3,6144,414.84708,201.31035,888.5614,197.74808,42.72857142857143,345.2693,160.7032,661.6831,129.19667,126.933334,167.8,9.9331104347826087205e-05,0.0002979933117056855779,9.9331104347826087205e-05,0.0002979933117056855779,1.503708,1.0,-0.1764352,35.575752,1.5046399,0.019533956,60.147575,27.078375,251.76866,19.527641,-3.8854352e-05,0.99800295,4.634795,-9.389304,3.8853712e-05,27.08270764350891
4,8192,329.10944,173.61351,710.9648,160.0404,52.896103896103895,249.63159,116.20145,500.29858,66.16455,154.57143,197.5,9.8996656521739139516e-05,0.00029698996755852839665,9.8996656521739139516e-05,0.00029698996755852839665,1.3073636,0.93020475,-0.4298314,40.347485,1.2339462,-0.04819296,70.47293,28.782307,281.6447,29.536974,0.056563888,1.0325942,5.0539527,-9.685466,-0.056563884,37.84301042556763
5,10240,242.55971,96.499176,396.71463,105.88718,60.72727272727273,240.09756,168.29614,703.3507,110.07666,170.36363,220.3,9.866220869565218072e-05,0.0002959866234113712154,9.866220869565218072e-05,0.0002959866234113712154,1.131443,0.65777254,-0.5773418,41.24176,1.12111,-0.3773774,74.71118,30.612036,295.41888,34.667885,0.0074412744,1.0003499,4.5914783,-10.0066185,-0.0074412753,48.15719795227051
6,12288,227.5812,74.263664,356.90982,146.39366,67.73033707865169,177.37936,84.592995,336.10184,65.380745,156.61539,214.8,9.832776086956522193e-05,0.00029498327926421403415,9.832776086956522193e-05,0.00029498327926421403415,0.9702747,0.45989257,-0.48660332,39.390213,1.0772393,-0.64650273,76.74298,33.251446,311.7168,32.590046,-0.111639194,0.9118081,3.9034076,-9.010916,0.111639194,57.986308574676514
7,14336,295.313,116.61962,570.54926,167.91263,74.87894736842105,172.23907,55.65381,292.53235,65.67718,180.91667,185.0,9.7993313043478263135e-05,0.00029397993511705681958,9.7993313043478263135e-05,0.00029397993511705681958,0.8315503,0.3296408,-0.42623517,40.81104,0.99974126,-0.8726186,77.583885,35.92024,323.4717,31.61188,-0.20328282,0.84982926,3.292368,-8.835501,0.20328282,69.51033854484558
8,16384,295.6768,117.94363,545.4549,146.85135,79.88235294117646,157.73909,46.42138,229.36682,75.81054,147.78572,185.9,9.765886521739130434e-05,0.00029297659096989963833,9.765886521739130434e-05,0.00029297659096989963833,0.7143781,0.23604903,-0.41918615,39.380795,0.9058653,-1.4280816,77.82756,37.956974,320.492,32.00081,-0.26870492,0.7926945,2.9351053,-9.848665,0.26870492,80.6474757194519
9,18432,277.81226,113.20101,541.6276,158.11255,84.42396313364056,131.16599,39.90076,201.25372,71.305885,155.6923,226.2,9.732441739130435665e-05,0.00029197324682274245705,9.732441739130435665e-05,0.00029197324682274245705,0.6150714,0.15647383,-0.39262062,35.43967,0.8129985,-2.3224628,77.21523,38.720753,302.96686,29.685564,-0.32239395,0.74701273,4.4595346,-8.155539,0.3223939,91.74745965003967
10,20480,365.67224,167.22688,616.6812,133.0638,89.66666666666667,156.18643,59.234016,248.83101,57.098873,193.09091,154.3,9.698996956521739786e-05,0.0002909699026755852425,9.698996956521739786e-05,0.0002909699026755852425,0.5300994,0.10437725,-0.32730085,32.822323,0.7295887,-2.7719269,76.15942,38.773388,315.5063,27.342457,-0.37689695,0.7101253,5.0643744,-8.695412,0.37689698,101.1400306224823
11,22528,283.38864,107.10811,509.83618,143.3258,91.45081967213115,232.76164,118.089424,440.9503,79.96283,116.875,177.9,9.6655521739130439065e-05,0.00028996655852842806125,9.6655521739130439065e-05,0.00028996655852842806125,0.45729873,0.07175165,-0.27628884,32.771107,0.65171194,-2.9897223,75.42779,38.555843,306.57446,25.04374,-0.42558354,0.6618898,5.114705,-6.7396755,0.4255835,111.93697190284729
12,24576,249.46521,108.97325,583.7309,147.55487,91.04832713754647,199.1462,69.23921,357.3212,97.21525,87.12,220.9,9.632107391304348027e-05,0.00028896321438127087998,9.632107391304348027e-05,0.00028896321438127087998,0.394813,0.05110722,-0.23058185,35.766182,0.5791912,-2.6636422,75.8281,39.26119,344.6631,27.026665,-0.46735665,0.6072971,3.4319477,-6.542134,0.4673567,121.97977352142334
13,26624,300.08908,153.70605,765.22754,148.127,91.15463917525773,240.77249,59.241356,350.74176,161.39865,92.454544,172.0,9.598662608695652148e-05,0.00028795987023411369873,9.598662608695652148e-05,0.00028795987023411369873,0.34128752,0.038490586,-0.19854355,37.041004,0.51156014,-2.397221,78.65612,40.43699,360.83786,25.583588,-0.49903527,0.5707858,2.9268641,-6.77625,0.49903527,132.0551769733429
14,28672,302.84985,160.13605,811.801,157.45255,90.38607594936708,312.13184,117.616646,585.84863,178.35353,81.44,200.2,9.565217826086957379e-05,0.00028695652608695648418,9.565217826086957379e-05,0.00028695652608695648418,0.29530278,0.029206695,-0.1749125,39.604156,0.44978186,-2.477274,82.87538,41.94068,387.31705,28.603622,-0.5233141,0.5360487,3.282786,-6.379396,0.52331406,141.852641582489
15,30720,261.0432,168.44315,961.4639,136.93942,87.88184438040346,285.81714,136.00272,637.31476,148.00894,62.35484,173.1,9.5317730434782614995e-05,0.0002859531819397993029,9.5317730434782614995e-05,0.0002859531819397993029,0.25576332,0.02214429,-0.15391657,42.54639,0.3942184,-2.6429646,86.81939,42.30332,403.58887,32.931805,-0.54147035,0.5106302,4.24726,-7.547184,0.54147047,152.28007817268372
16,32768,246.83008,120.21602,560.31195,146.39946,84.61398963730569,201.36183,63.371506,325.65524,138.9099,55.53846,95.0,9.49832826086956562e-05,0.00028494983779264212166,9.49832826086956562e-05,0.00028494983779264212166,0.22165424,0.017359849,-0.13355416,44.318565,0.34494057,-2.406046,91.64425,42.30662,420.752,35.597466,-0.5562405,0.48766762,3.443143,-6.839285,0.5562405,162.0968725681305
17,34816,248.52806,115.45902,584.28796,136.46738,82.27895981087471,255.5341,79.77209,358.3291,139.32523,57.91892,94.6,9.464883478260869741e-05,0.0002839464936454849404,9.464883478260869741e-05,0.0002839464936454849404,0.19227682,0.013792649,-0.116616845,48.149406,0.30113256,-2.409036,97.27009,42.171658,441.73294,38.882088,-0.5661534,0.46969274,3.3456879,-7.0634804,0.5661534,172.3439919948578
18,36864,234.98897,88.42642,462.32916,141.30522,79.22844827586206,214.01653,40.953037,301.19174,162.18411,47.756096,147.0,9.4314386956521738615e-05,0.00028294314949832772584,9.4314386956521738615e-05,0.00028294314949832772584,0.16685635,0.011165762,-0.10161031,49.50212,0.26315725,-2.1359856,102.50688,41.560394,433.88394,44.408577,-0.57719606,0.45083743,2.7565436,-7.051735,0.57719624,182.82591080665588
19,38912,252.75233,129.46619,797.1088,150.23341,77.45816733067728,204.65317,70.90251,370.34882,146.41925,55.842106,118.0,9.3979939130434790925e-05,0.0002819398053511705446,9.3979939130434790925e-05,0.0002819398053511705446,0.1448887,0.009238141,-0.089356326,51.918133,0.22986826,-2.237567,109.19912,41.428432,434.86996,49.571114,-0.58643854,0.43355817,2.474553,-6.696134,0.5864386,194.13131141662598
20,40960,222.80486,97.96409,694.33167,140.7353,73.74594594594595,223.78989,62.31534,328.53333,129.6928,38.584908,42.3,9.364549130434783213e-05,0.00028093646120401336334,9.364549130434783213e-05,0.00028093646120401336334,0.1258567,0.007631475,-0.078564554,52.678257,0.20116542,-2.082866,115.460144,40.220963,428.34152,55.195812,-0.5983598,0.40847728,1.7843328,-4.7698693,0.59835976,204.6331217288971
21,43008,201.8453,69.18554,505.55847,136.44086,70.84843492586491,216.11763,86.10344,451.25583,130.69794,39.923077,63.8,9.331104347826087334e-05,0.00027993311705685614876,9.331104347826087334e-05,0.00027993311705685614876,0.10939199,0.006307545,-0.06968467,53.09068,0.1758805,-2.567979,121.35956,38.436066,408.44885,62.47386,-0.6079029,0.39042354,1.9693389,-5.5606613,0.60790294,215.6331558227539
22,45056,206.39766,71.10708,509.47055,135.98108,66.99107142857143,203.72177,64.08369,377.4898,144.1675,30.96923,62.9,9.2976595652173914545e-05,0.00027892977290969896752,9.2976595652173914545e-05,0.00027892977290969896752,0.09509125,0.0051180487,-0.06210245,51.20844,0.15435752,-2.9257998,126.74649,35.28962,341.12646,64.49243,-0.62330776,0.35799018,1.9206581,-5.0469284,0.6233077,226.16123867034912
23,47104,195.29971,45.623802,344.10275,137.05972,63.98233695652174,177.6217,41.112988,282.7475,140.38542,32.390625,36.1,9.264214782608695575e-05,0.00027792642876254178627,9.264214782608695575e-05,0.00027792642876254178627,0.08271012,0.0040613124,-0.055390332,47.376377,0.1353395,-3.7504811,131.25592,30.257782,298.39444,74.81484,-0.63634455,0.32230628,2.0493817,-6.6998143,0.63634455,237.00501918792725
24,49152,187.9012,38.230667,377.77954,138.03996,59.94024390243902,186.19627,25.836432,235.19333,152.41743,24.52381,36.1,9.230770000000000806e-05,0.00027692308461538460502,9.230770000000000806e-05,0.00027692308461538460502,0.07196075,0.0031091392,-0.049152736,40.742207,0.11880955,-4.29671,135.20522,24.812647,255.8675,72.45246,-0.6510192,0.28005534,1.6765795,-5.1245403,0.6510193,247.54399490356445
25,51200,195.38124,47.124958,363.50647,130.72244,56.45695364238411,188.7907,17.042887,208.35986,159.52917,23.244186,19.9,9.197325217391304927e-05,0.00027591974046822739044,9.197325217391304927e-05,0.00027591974046822739044,0.06265454,0.0023460772,-0.04307108,35.321583,0.10403056,-4.374225,139.253,21.47727,241.119,70.19516,-0.6603301,0.24798107,1.3515306,-6.5690956,0.6603302,257.6477608680725
26,53248,187.8822,35.915817,304.8372,133.63629,52.97810945273632,209.3953,51.967113,338.002,145.1166,21.141415,29.0,9.1638804347826090475e-05,0.0002749163963210702092,9.1638804347826090475e-05,0.0002749163963210702092,0.054579668,0.0017955381,-0.03749619,32.211353,0.09093721,-4.01934,144.2141,20.120432,248.98528,65.44916,-0.66605115,0.22116983,0.7776598,-5.7325234,0.66605115,267.1251301765442
27,55296,200.02242,36.08423,366.12225,139.64656,50.774104683195596,187.43925,20.639057,220.25832,161.94142,24.404762,16.9,9.130435652173913168e-05,0.00027391305217391302795,9.130435652173913168e-05,0.00027391305217391302795,0.047736987,0.0013897961,-0.03297671,29.053537,0.079767264,-4.5220404,149.2707,19.23081,251.17001,65.34418,-0.67088884,0.19734621,0.66247034,-3.9509344,0.67088884,277.6006395816803
28,57344,198.45905,47.963245,376.69727,139.00394,48.55038103302286,187.48624,36.822353,262.53287,140.79729,22.22826,22.1,9.096990869565217289e-05,0.00027290970802675581337,9.096990869565217289e-05,0.00027290970802675581337,0.041637104,0.0010204667,-0.028968297,26.794643,0.069744445,-5.878411,153.84856,18.519577,250.54204,68.75427,-0.6749618,0.17908442,0.6676879,-5.988118,0.6749618,288.52587485313416
